orderNo,customerID,firstName,lastName,gender,income,education,occupation,productCost,saleAmount,item,itemCategory,saleCountry,Profit,Region
SO50419,14453,Jesse,Scott,M,90000,Partial College,Professional,605.6492,1000.4375,"Road-550-W Yellow, 44",Components,United States,394.7883,North America
SO53756,19110,Jesse,Kelly,M,70000,Graduate Degree,Professional,294.5797,539.99,"Mountain-500 Black, 48",Bikes,United States,245.4103,North America
SO54178,21766,Jesse,Baker,M,70000,Bachelors,Management,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO55599,11040,Jesse,Murphy,M,30000,Partial College,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO60513,20304,Jesse,Edwards,M,40000,High School,Skilled Manual,713.0798,1120.49,"Road-550-W Yellow, 40",Components,United States,407.4102,North America
SO61167,23176,Jesse,Ward,M,50000,Bachelors,Skilled Manual,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO62391,22719,Jesse,Brooks,M,110000,Bachelors,Management,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO62735,14453,Jesse,Scott,M,90000,Partial College,Professional,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO63938,25895,Jesse,Richardson,M,40000,Partial High School,Skilled Manual,755.1508,1214.85,"Touring-2000 Blue, 46",Clothing,United States,459.6992,North America
SO64513,23032,Jesse,Parker,M,130000,Bachelors,Management,343.6496,539.99,"Road-750 Black, 44",Components,United States,196.3404,North America
SO68873,27199,Jesse,Wright,M,80000,Graduate Degree,Skilled Manual,1481.9379,2384.07,"Touring-1000 Blue, 50",Clothing,United States,902.1321,North America
SO70157,23506,Jesse,Campbell,M,150000,Partial College,Professional,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO70712,17462,Jesse,Rogers,M,70000,Graduate Degree,Management,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,United States,1043.0087,North America
SO72163,16211,Jesse,Roberts,M,40000,Partial College,Clerical,308.2179,564.99,"Mountain-500 Silver, 42",Bikes,United States,256.7721,North America
SO74007,28099,Jesse,Turner,M,70000,Partial College,Skilled Manual,1481.9379,2384.07,"Touring-1000 Yellow, 46",Clothing,United States,902.1321,North America
SO43784,27667,Jessica,Sanchez,F,70000,High School,Professional,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO44038,25868,Jessica,Lewis,F,70000,Bachelors,Management,1912.1544,3399.99,"Mountain-100 Silver, 38",Bikes,United States,1487.8356,North America
SO44410,28223,Jessica,Davis,F,60000,High School,Professional,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO44614,28650,Jessica,Clark,F,40000,Bachelors,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 48",Components,United States,1406.9758,North America
SO45416,28161,Jessica,Perry,F,60000,Bachelors,Professional,2171.2942,3578.27,"Road-150 Red, 62",Components,Canada,1406.9758,North America
SO45887,14880,Jessica,Ross,F,30000,Bachelors,Skilled Manual,413.1463,699.0982,"Road-650 Red, 52",Components,United States,285.9519,North America
SO45919,11780,Jessica,Alexander,F,60000,Graduate Degree,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 48",Components,United States,1406.9758,North America
SO45960,11671,Jessica,Brown,F,60000,Bachelors,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 56",Components,United States,1406.9758,North America
SO46261,26075,Jessica,Walker,F,90000,Partial College,Professional,1898.0944,3374.99,"Mountain-100 Black, 38",Bikes,United States,1476.8956,North America
SO46762,13063,Jessica,Johnson,F,40000,High School,Skilled Manual,1518.7864,2443.35,"Road-250 Red, 44",Components,United States,924.5636,North America
SO48427,14289,Jessica,Martinez,F,150000,Bachelors,Management,605.6492,1000.4375,"Road-550-W Yellow, 48",Components,United States,394.7883,North America
SO49937,27251,Jessica,Flores,F,50000,Graduate Degree,Skilled Manual,1105.81,2049.0982,"Mountain-200 Black, 38",Bikes,United States,943.2882,North America
SO50367,26572,Jessica,Russell,F,40000,Partial College,Skilled Manual,605.6492,1000.4375,"Road-550-W Yellow, 38",Components,Canada,394.7883,North America
SO50853,27542,Jessica,Rivera,F,70000,Bachelors,Professional,1117.8559,2071.4196,"Mountain-200 Silver, 46",Bikes,United States,953.5637,North America
SO51583,16015,Jessica,Cooper,F,30000,Partial College,Skilled Manual,343.6496,539.99,"Road-750 Black, 44",Components,United States,196.3404,North America
SO55912,11671,Jessica,Brown,F,60000,Bachelors,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO58281,22131,Jessica,Cook,F,70000,Graduate Degree,Management,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO59564,25868,Jessica,Lewis,F,70000,Bachelors,Management,1481.9379,2384.07,"Touring-1000 Blue, 54",Clothing,United States,902.1321,North America
SO60018,14289,Jessica,Martinez,F,150000,Bachelors,Management,1251.9813,2294.99,"Mountain-200 Black, 38",Bikes,United States,1043.0087,North America
SO60308,22258,Jessica,Reed,F,70000,Graduate Degree,Professional,343.6496,539.99,"Road-750 Black, 44",Components,United States,196.3404,North America
SO60421,11780,Jessica,Alexander,F,60000,Graduate Degree,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO60618,14880,Jessica,Ross,F,30000,Bachelors,Skilled Manual,713.0798,1120.49,"Road-550-W Yellow, 48",Components,United States,407.4102,North America
SO61020,22225,Jessica,Murphy,F,90000,Partial College,Professional,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO61844,26075,Jessica,Walker,F,90000,Partial College,Professional,1481.9379,2384.07,"Touring-1000 Yellow, 60",Clothing,United States,902.1321,North America
SO62081,23266,Jessica,Watson,F,40000,Partial College,Clerical,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO63492,20653,Jessica,White,F,50000,Bachelors,Skilled Manual,713.0798,1120.49,"Road-550-W Yellow, 48",Components,United States,407.4102,North America
SO64669,23026,Jessica,Rogers,F,120000,Partial College,Professional,343.6496,539.99,"Road-750 Black, 44",Components,United States,196.3404,North America
SO66693,18084,Jessica,Diaz,F,60000,Partial College,Professional,1082.51,1700.99,"Road-350-W Yellow, 42",Components,United States,618.48,North America
SO67563,20069,Jessica,Smith,F,30000,Graduate Degree,Skilled Manual,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO67692,24796,Jessica,Simmons,F,60000,Bachelors,Skilled Manual,1481.9379,2384.07,"Touring-1000 Blue, 60",Clothing,United States,902.1321,North America
SO67736,16850,Jessica,Jenkins,F,90000,Partial College,Professional,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,United States,1054.3705,North America
SO68145,18371,Jessica,Morgan,F,60000,Graduate Degree,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 42",Components,United States,618.48,North America
SO68391,23668,Jessica,Hughes,F,40000,High School,Professional,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO69288,13063,Jessica,Johnson,F,40000,High School,Skilled Manual,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,United States,1043.0087,North America
SO71761,27542,Jessica,Rivera,F,70000,Bachelors,Professional,1481.9379,2384.07,"Touring-1000 Yellow, 46",Clothing,United States,902.1321,North America
SO71763,27667,Jessica,Sanchez,F,70000,High School,Professional,1481.9379,2384.07,"Touring-1000 Blue, 50",Clothing,United States,902.1321,North America
SO72342,24330,Jessica,Bennett,F,70000,Bachelors,Professional,343.6496,539.99,"Road-750 Black, 44",Components,United States,196.3404,North America
SO72616,20012,Jessica,Robinson,F,70000,Graduate Degree,Professional,294.5797,539.99,"Mountain-500 Black, 44",Bikes,United States,245.4103,North America
SO45883,11799,Jessie,Wang,M,40000,Bachelors,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 52",Components,United States,1406.9758,North America
SO46002,11826,Jessie,Alonso,F,70000,Graduate Degree,Professional,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO47582,13433,Jessie,Vazquez,F,90000,Partial College,Professional,1320.6838,2181.5625,"Road-250 Black, 44",Components,United States,860.8787,North America
SO48192,13702,Jessie,Suarez,F,40000,Partial College,Clerical,1320.6838,2181.5625,"Road-250 Black, 52",Components,United States,860.8787,North America
SO52825,11826,Jessie,Alonso,F,70000,Graduate Degree,Professional,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO59805,11799,Jessie,Wang,M,40000,Bachelors,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO59880,13433,Jessie,Vazquez,F,90000,Partial College,Professional,1251.9813,2294.99,"Mountain-200 Black, 42",Bikes,United States,1043.0087,North America
SO72321,13702,Jessie,Suarez,F,40000,Partial College,Clerical,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,United States,1043.0087,North America
SO46187,24235,Jill,Martinez,F,40000,High School,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 52",Components,Canada,1406.9758,North America
SO55609,24349,Jill,Patterson,F,60000,Graduate Degree,Professional,1481.9379,2384.07,"Touring-1000 Blue, 60",Clothing,United States,902.1321,North America
SO61636,12914,Jill,Miller,F,40000,Bachelors,Professional,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,Canada,1054.3705,North America
SO67561,24235,Jill,Martinez,F,40000,High School,Skilled Manual,755.1508,1214.85,"Touring-2000 Blue, 46",Clothing,Canada,459.6992,North America
SO52274,24529,Jillian,Martinez,F,130000,Graduate Degree,Management,1481.9379,2384.07,"Touring-1000 Yellow, 54",Clothing,United States,902.1321,North America
SO44001,28044,Jimmy,Navarro,M,60000,Bachelors,Management,2171.2942,3578.27,"Road-150 Red, 52",Components,United States,1406.9758,North America
SO45669,11528,Joan,Washington,F,40000,Partial College,Clerical,2171.2942,3578.27,"Road-150 Red, 56",Components,United States,1406.9758,North America
SO48283,15389,Joan,King,F,130000,Bachelors,Management,486.7066,782.99,"Road-650 Red, 60",Components,United States,296.2834,North America
SO52998,11528,Joan,Washington,F,40000,Partial College,Clerical,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO58623,17012,Joan,Collins,F,60000,Graduate Degree,Professional,1082.51,1700.99,"Road-350-W Yellow, 44",Components,United States,618.48,North America
SO64767,15389,Joan,King,F,130000,Bachelors,Management,1251.9813,2294.99,"Mountain-200 Black, 38",Bikes,United States,1043.0087,North America
SO71986,20749,Joan,Morgan,F,30000,High School,Clerical,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO66823,23391,Joanna,Moreno,F,60000,Graduate Degree,Professional,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO69622,17003,Joanna,Dominguez,F,70000,Bachelors,Professional,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,United States,1054.3705,North America
SO44820,25972,Jocelyn,Henderson,F,70000,Bachelors,Professional,1898.0944,3374.99,"Mountain-100 Black, 44",Bikes,United States,1476.8956,North America
SO45003,29059,Jocelyn,Perry,F,60000,Partial College,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 56",Components,United States,1406.9758,North America
SO46509,12886,Jocelyn,Long,F,60000,Graduate Degree,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO47223,25875,Jocelyn,Price,F,40000,High School,Professional,1518.7864,2443.35,"Road-250 Red, 52",Components,Canada,924.5636,North America
SO48834,26695,Jocelyn,Diaz,F,80000,Partial College,Professional,1117.8559,2071.4196,"Mountain-200 Silver, 38",Bikes,United States,953.5637,North America
SO50815,21658,Jocelyn,Powell,F,60000,Graduate Degree,Professional,1117.8559,2071.4196,"Mountain-200 Silver, 42",Bikes,Canada,953.5637,North America
SO50896,27569,Jocelyn,Wood,F,70000,Graduate Degree,Professional,1117.8559,2071.4196,"Mountain-200 Silver, 42",Bikes,United States,953.5637,North America
SO56221,22879,Jocelyn,Russell,F,60000,Partial College,Skilled Manual,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO58125,23080,Jocelyn,Barnes,F,60000,Partial College,Skilled Manual,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO59568,22290,Jocelyn,Jenkins,F,70000,Bachelors,Professional,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO62569,25972,Jocelyn,Henderson,F,70000,Bachelors,Professional,1481.9379,2384.07,"Touring-1000 Blue, 60",Clothing,United States,902.1321,North America
SO66477,12886,Jocelyn,Long,F,60000,Graduate Degree,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO66755,26695,Jocelyn,Diaz,F,80000,Partial College,Professional,1481.9379,2384.07,"Touring-1000 Yellow, 54",Clothing,United States,902.1321,North America
SO68257,21658,Jocelyn,Powell,F,60000,Graduate Degree,Professional,343.6496,539.99,"Road-750 Black, 48",Components,Canada,196.3404,North America
SO71762,27569,Jocelyn,Wood,F,70000,Graduate Degree,Professional,1481.9379,2384.07,"Touring-1000 Yellow, 60",Clothing,United States,902.1321,North America
SO73755,20013,Jocelyn,Hughes,F,70000,Graduate Degree,Professional,294.5797,539.99,"Mountain-500 Black, 42",Bikes,United States,245.4103,North America
SO56052,20667,Jodi,Pal,F,70000,Bachelors,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 40",Components,United States,618.48,North America
SO63615,17659,Jodi,Tang,F,60000,Graduate Degree,Skilled Manual,1082.51,1700.99,"Road-350-W Yellow, 48",Components,United States,618.48,North America
SO45834,11816,Joe,Torres,M,70000,Graduate Degree,Professional,2171.2942,3578.27,"Road-150 Red, 48",Components,United States,1406.9758,North America
SO46707,15199,Joe,Jordan,M,70000,Partial College,Professional,486.7066,782.99,"Road-650 Black, 62",Components,United States,296.2834,North America
SO46741,28766,Joe,Alonso,M,40000,Partial College,Clerical,1518.7864,2443.35,"Road-250 Red, 52",Components,Canada,924.5636,North America
SO46866,12981,Joe,Sanz,M,80000,Graduate Degree,Professional,1518.7864,2443.35,"Road-250 Red, 48",Components,United States,924.5636,North America
SO49931,15860,Joe,Moreno,M,40000,Partial College,Clerical,486.7066,782.99,"Road-650 Red, 52",Components,United States,296.2834,North America
SO53053,11816,Joe,Torres,M,70000,Graduate Degree,Professional,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO54571,15860,Joe,Moreno,M,40000,Partial College,Clerical,294.5797,539.99,"Mountain-500 Black, 44",Bikes,United States,245.4103,North America
SO56783,12981,Joe,Sanz,M,80000,Graduate Degree,Professional,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO64591,15199,Joe,Jordan,M,70000,Partial College,Professional,1251.9813,2294.99,"Mountain-200 Black, 38",Bikes,United States,1043.0087,North America
SO66188,16004,Joe,Martinez,M,90000,Bachelors,Management,1251.9813,2294.99,"Mountain-200 Black, 38",Bikes,United States,1043.0087,North America
SO68393,18440,Joe,Ashe,M,60000,Graduate Degree,Management,1082.51,1700.99,"Road-350-W Yellow, 42",Components,United States,618.48,North America
SO57949,22099,Joel,Schmidt,M,80000,Graduate Degree,Management,343.6496,539.99,"Road-750 Black, 44",Components,United States,196.3404,North America
SO44695,19855,John,Smith,M,70000,Bachelors,Management,1912.1544,3399.99,"Mountain-100 Silver, 44",Bikes,Canada,1487.8356,North America
SO45080,14657,John,Thomas,M,80000,Partial College,Skilled Manual,413.1463,699.0982,"Road-650 Black, 58",Components,United States,285.9519,North America
SO47139,13238,John,Williams,M,70000,Bachelors,Management,1320.6838,2181.5625,"Road-250 Black, 48",Components,United States,860.8787,North America
SO52462,19531,John,Robinson,M,60000,Graduate Degree,Professional,713.0798,1120.49,"Road-550-W Yellow, 42",Components,United States,407.4102,North America
SO58178,14436,John,Martin,M,90000,Partial College,Professional,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,Canada,1054.3705,North America
SO58811,13238,John,Williams,M,70000,Bachelors,Management,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,United States,1043.0087,North America
SO61768,14657,John,Thomas,M,80000,Partial College,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO61770,12903,John,Sandstone,F,50000,Bachelors,Skilled Manual,1251.9813,2294.99,"Mountain-200 Black, 38",Bikes,Canada,1043.0087,North America
SO61965,20682,John,Davis,M,80000,Graduate Degree,Professional,1082.51,1700.99,"Road-350-W Yellow, 40",Components,United States,618.48,North America
SO67076,14436,John,Martin,M,90000,Partial College,Professional,1481.9379,2384.07,"Touring-1000 Blue, 46",Clothing,Canada,902.1321,North America
SO68613,23721,John,Clark,M,60000,Partial College,Professional,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO69641,18564,John,Moore,M,40000,Bachelors,Professional,1082.51,1700.99,"Road-350-W Yellow, 42",Components,United States,618.48,North America
SO71251,19855,John,Smith,M,70000,Bachelors,Management,1251.9813,2294.99,"Mountain-200 Black, 38",Bikes,Canada,1043.0087,North America
SO72406,18528,John,Rodriguez,M,70000,Partial College,Skilled Manual,1251.9813,2294.99,"Mountain-200 Black, 42",Bikes,United States,1043.0087,North America
SO46479,12768,Johnathan,Chapman,M,30000,High School,Clerical,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO62378,12768,Johnathan,Chapman,M,30000,High School,Clerical,419.7784,769.49,"Mountain-400-W Silver, 42",Bikes,United States,349.7116,North America
SO45884,11678,Johnny,Chavez,M,70000,Graduate Degree,Professional,2171.2942,3578.27,"Road-150 Red, 52",Components,United States,1406.9758,North America
SO52320,11678,Johnny,Chavez,M,70000,Graduate Degree,Professional,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO44217,28148,Jon,Zhao,M,60000,Bachelors,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO44834,25952,Jon,Alonso,M,40000,High School,Skilled Manual,1898.0944,3374.99,"Mountain-100 Black, 44",Bikes,United States,1476.8956,North America
SO45668,11298,Jon,Luo,M,70000,Graduate Degree,Management,2171.2942,3578.27,"Road-150 Red, 48",Components,United States,1406.9758,North America
SO50353,14440,Jon,Tang,M,100000,Partial College,Professional,605.6492,1000.4375,"Road-550-W Yellow, 42",Components,United States,394.7883,North America
SO53122,11298,Jon,Luo,M,70000,Graduate Degree,Management,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,United States,1054.3705,North America
SO62447,14440,Jon,Tang,M,100000,Partial College,Professional,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,United States,1043.0087,North America
SO66143,25952,Jon,Alonso,M,40000,High School,Skilled Manual,755.1508,1214.85,"Touring-2000 Blue, 46",Clothing,United States,459.6992,North America
SO68615,21426,Jon,Raje,M,60000,High School,Professional,713.0798,1120.49,"Road-550-W Yellow, 42",Components,United States,407.4102,North America
SO44218,22109,Jonathan,Mitchell,M,60000,Partial High School,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 44",Components,Canada,1406.9758,North America
SO44406,28299,Jonathan,Shan,M,40000,Partial College,Professional,2171.2942,3578.27,"Road-150 Red, 52",Components,United States,1406.9758,North America
SO44458,28247,Jonathan,Adams,M,90000,Partial College,Professional,2171.2942,3578.27,"Road-150 Red, 56",Components,United States,1406.9758,North America
SO45360,28036,Jonathan,Gonzales,M,40000,High School,Professional,2171.2942,3578.27,"Road-150 Red, 52",Components,Canada,1406.9758,North America
SO45463,11171,Jonathan,Hill,M,100000,Bachelors,Management,2171.2942,3578.27,"Road-150 Red, 48",Components,United States,1406.9758,North America
SO45700,11278,Jonathan,Phillips,M,90000,Partial College,Professional,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO45826,23858,Jonathan,Powell,M,70000,Bachelors,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 62",Components,Canada,1406.9758,North America
SO46407,27026,Jonathan,Perry,M,30000,High School,Clerical,413.1463,699.0982,"Road-650 Black, 52",Components,Canada,285.9519,North America
SO46464,12885,Jonathan,Anderson,M,60000,Graduate Degree,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO46529,12784,Jonathan,Campbell,M,40000,Partial College,Clerical,2171.2942,3578.27,"Road-150 Red, 56",Components,United States,1406.9758,North America
SO46559,12762,Jonathan,Smith,M,30000,Bachelors,Skilled Manual,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO46785,13190,Jonathan,Diaz,M,120000,Graduate Degree,Management,1320.6838,2181.5625,"Road-250 Black, 44",Components,United States,860.8787,North America
SO48507,14255,Jonathan,Jackson,M,110000,Bachelors,Management,605.6492,1000.4375,"Road-550-W Yellow, 48",Components,United States,394.7883,North America
SO48978,14290,Jonathan,Wilson,M,70000,Partial High School,Skilled Manual,605.6492,1000.4375,"Road-550-W Yellow, 44",Components,United States,394.7883,North America
SO49223,27017,Jonathan,Thompson,M,80000,Graduate Degree,Skilled Manual,1105.81,2049.0982,"Mountain-200 Black, 42",Bikes,United States,943.2882,North America
SO49255,15523,Jonathan,Yang,M,40000,Bachelors,Professional,486.7066,782.99,"Road-650 Red, 44",Components,United States,296.2834,North America
SO49428,13870,Jonathan,Clark,M,50000,Bachelors,Skilled Manual,1518.7864,2443.35,"Road-250 Red, 44",Components,United States,924.5636,North America
SO50767,14486,Jonathan,Coleman,M,170000,Graduate Degree,Management,605.6492,1000.4375,"Road-550-W Yellow, 48",Components,United States,394.7883,North America
SO51277,11278,Jonathan,Phillips,M,90000,Partial College,Professional,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,United States,1043.0087,North America
SO51402,22109,Jonathan,Mitchell,M,60000,Partial High School,Skilled Manual,1481.9379,2384.07,"Touring-1000 Blue, 46",Clothing,Canada,902.1321,North America
SO51490,11171,Jonathan,Hill,M,100000,Bachelors,Management,1251.9813,2294.99,"Mountain-200 Black, 38",Bikes,United States,1043.0087,North America
SO52015,22282,Jonathan,Hughes,M,40000,Bachelors,Professional,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO53051,13870,Jonathan,Clark,M,50000,Bachelors,Skilled Manual,419.7784,769.49,"Mountain-400-W Silver, 42",Bikes,United States,349.7116,North America
SO53129,23858,Jonathan,Powell,M,70000,Bachelors,Skilled Manual,713.0798,1120.49,"Road-550-W Yellow, 38",Components,Canada,407.4102,North America
SO56998,13190,Jonathan,Diaz,M,120000,Graduate Degree,Management,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO59953,14255,Jonathan,Jackson,M,110000,Bachelors,Management,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO60736,14290,Jonathan,Wilson,M,70000,Partial High School,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO61073,14578,Jonathan,Carter,M,60000,Bachelors,Skilled Manual,419.7784,769.49,"Mountain-400-W Silver, 40",Bikes,Canada,349.7116,North America
SO61302,14486,Jonathan,Coleman,M,170000,Graduate Degree,Management,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,United States,1043.0087,North America
SO63808,23082,Jonathan,Williams,M,70000,Partial College,Skilled Manual,343.6496,539.99,"Road-750 Black, 58",Components,United States,196.3404,North America
SO65851,12784,Jonathan,Campbell,M,40000,Partial College,Clerical,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO66759,18917,Jonathan,Nelson,M,30000,High School,Skilled Manual,343.6496,539.99,"Road-750 Black, 52",Components,United States,196.3404,North America
SO67067,12885,Jonathan,Anderson,M,60000,Graduate Degree,Skilled Manual,1251.9813,2294.99,"Mountain-200 Black, 38",Bikes,United States,1043.0087,North America
SO67135,27017,Jonathan,Thompson,M,80000,Graduate Degree,Skilled Manual,1481.9379,2384.07,"Touring-1000 Yellow, 60",Clothing,United States,902.1321,North America
SO70299,11171,Jonathan,Hill,M,100000,Bachelors,Management,461.4448,742.35,"Touring-3000 Yellow, 54",Clothing,United States,280.9052,North America
SO71011,23837,Jonathan,Li,M,40000,Bachelors,Skilled Manual,343.6496,539.99,"Road-750 Black, 44",Components,United States,196.3404,North America
SO71982,18527,Jonathan,Baker,M,70000,Partial College,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO73167,28247,Jonathan,Adams,M,90000,Partial College,Professional,1481.9379,2384.07,"Touring-1000 Blue, 60",Clothing,United States,902.1321,North America
SO73772,22186,Jonathan,Foster,M,60000,Partial College,Skilled Manual,713.0798,1120.49,"Road-550-W Yellow, 48",Components,United States,407.4102,North America
SO73995,15523,Jonathan,Yang,M,40000,Bachelors,Professional,419.7784,769.49,"Mountain-400-W Silver, 38",Bikes,United States,349.7116,North America
SO74070,12762,Jonathan,Smith,M,30000,Bachelors,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,United States,1054.3705,North America
SO44383,28268,Jordan,Campbell,F,120000,High School,Professional,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO45374,22996,Jordan,Henderson,M,80000,Bachelors,Management,2171.2942,3578.27,"Road-150 Red, 48",Components,Canada,1406.9758,North America
SO45381,19988,Jordan,Long,M,60000,Graduate Degree,Professional,1912.1544,3399.99,"Mountain-100 Silver, 38",Bikes,Canada,1487.8356,North America
SO46886,28669,Jordan,Carter,M,60000,Graduate Degree,Professional,1320.6838,2181.5625,"Road-250 Black, 52",Components,Canada,860.8787,North America
SO47226,13314,Jordan,Hernandez,M,120000,High School,Professional,1518.7864,2443.35,"Road-250 Red, 44",Components,United States,924.5636,North America
SO47265,13250,Jordan,King,F,70000,Partial College,Professional,1320.6838,2181.5625,"Road-250 Black, 48",Components,United States,860.8787,North America
SO47273,13420,Jordan,Turner,F,120000,Bachelors,Management,1518.7864,2443.35,"Road-250 Red, 44",Components,United States,924.5636,North America
SO49408,15535,Jordan,Scott,M,70000,Bachelors,Professional,486.7066,782.99,"Road-650 Red, 60",Components,United States,296.2834,North America
SO50566,21621,Jordan,Parker,M,60000,Graduate Degree,Professional,1105.81,2049.0982,"Mountain-200 Black, 38",Bikes,Canada,943.2882,North America
SO51193,11020,Jordan,King,M,40000,High School,Skilled Manual,1251.9813,2294.99,"Mountain-200 Black, 46",Bikes,Canada,1043.0087,North America
SO51369,24434,Jordan,Butler,M,70000,High School,Professional,1481.9379,2384.07,"Touring-1000 Blue, 46",Clothing,United States,902.1321,North America
SO56755,20001,Jordan,Hill,F,60000,Graduate Degree,Professional,713.0798,1120.49,"Road-550-W Yellow, 42",Components,United States,407.4102,North America
SO57467,13420,Jordan,Turner,F,120000,Bachelors,Management,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO57578,13250,Jordan,King,F,70000,Partial College,Professional,1265.6195,2319.99,"Mountain-200 Silver, 46",Bikes,United States,1054.3705,North America
SO58179,13314,Jordan,Hernandez,M,120000,High School,Professional,1251.9813,2294.99,"Mountain-200 Black, 42",Bikes,United States,1043.0087,North America
SO59131,23179,Jordan,Phillips,M,60000,Bachelors,Skilled Manual,343.6496,539.99,"Road-750 Black, 48",Components,United States,196.3404,North America
SO60810,22996,Jordan,Henderson,M,80000,Bachelors,Management,1554.9479,2443.35,"Road-250 Black, 52",Components,Canada,888.4021,North America
SO61644,21621,Jordan,Parker,M,60000,Graduate Degree,Professional,343.6496,539.99,"Road-750 Black, 58",Components,Canada,196.3404,North America
